customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,registration_year,registration_month,order_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,order_year,order_month,weekday,rating,sentiment,feedback_category
97475543,Niharika Nagi,ektataneja@example.org,912987579691,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,2023-05-13,Premium,13,451.92,2023,May,1002526452.0,2023-07-31 23:19:05,2023-07-31 23:29:05,2023-07-31 23:33:05,On Time,5001.82,Cash,56579.0,852.0,2023.0,July,Monday,4.0,Neutral,Delivery
97475543,Niharika Nagi,ektataneja@example.org,912987579691,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,2023-05-13,Premium,13,451.92,2023,May,4928556641.0,2023-09-19 14:53:57,2023-09-19 15:11:57,2023-09-19 15:18:57,Slightly Delayed,2275.2,Card,49069.0,1415.0,2023.0,September,Tuesday,4.0,Positive,Delivery
97475543,Niharika Nagi,ektataneja@example.org,912987579691,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,2023-05-13,Premium,13,451.92,2023,May,6833977302.0,2023-06-05 04:44:35,2023-06-05 04:57:35,2023-06-05 05:22:35,Significantly Delayed,2495.74,Wallet,66274.0,9262.0,2023.0,June,Monday,3.0,Negative,App Experience
97475543,Niharika Nagi,ektataneja@example.org,912987579691,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,2023-05-13,Premium,13,451.92,2023,May,7147677361.0,2024-07-12 09:59:18,2024-07-12 10:09:18,2024-07-12 10:09:18,On Time,2543.15,Wallet,85980.0,4844.0,2024.0,July,Friday,1.0,Negative,Delivery
22077605,Megha Sachar,vedant45@example.com,915123179717,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394,2024-06-18,Inactive,4,825.48,2024,June,9799231260.0,2024-03-07 08:59:56,2024-03-07 09:17:56,2024-03-07 09:21:56,On Time,872.83,Wallet,58378.0,7812.0,2024.0,March,Thursday,4.0,Neutral,Customer Service
22077605,Megha Sachar,vedant45@example.com,915123179717,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394,2024-06-18,Inactive,4,825.48,2024,June,2770948451.0,2023-04-27 07:44:43,2023-04-27 08:03:43,2023-04-27 08:22:43,Significantly Delayed,1775.72,Wallet,81011.0,2637.0,2023.0,April,Thursday,3.0,Negative,App Experience
47822591,Hema Bahri,samiazaan@example.com,910034076149,"941
Anne Street, Darbhanga 186125",Begusarai,621411,2024-09-25,Regular,17,1969.81,2024,September,4903335316.0,2023-04-30 19:35:17,2023-04-30 19:51:17,2023-04-30 20:01:17,Slightly Delayed,3090.86,Upi,78579.0,3917.0,2023.0,April,Sunday,3.0,Negative,Delivery
79726146,Zaitra Vig,ishanvi87@example.org,916264232390,"43/94, Ghosh, Alappuzha 635655",Kozhikode,826054,2023-10-04,New,4,220.09,2023,October,6600422315.0,2023-09-19 00:26:15,2023-09-19 00:38:15,2023-09-19 00:41:15,On Time,3415.39,Upi,46137.0,1886.0,2023.0,September,Tuesday,4.0,Positive,Customer Service
57102800,Januja Verma,atideshpande@example.org,917293526596,"06
Om, Ambarnath 477463",Ichalkaranji,730539,2024-03-22,Inactive,14,578.14,2024,March,8875274470.0,2024-04-20 16:25:48,2024-04-20 16:38:48,2024-04-20 17:03:48,Significantly Delayed,818.16,Card,54978.0,8776.0,2024.0,April,Saturday,5.0,Positive,Product Quality
57102800,Januja Verma,atideshpande@example.org,917293526596,"06
Om, Ambarnath 477463",Ichalkaranji,730539,2024-03-22,Inactive,14,578.14,2024,March,4606856320.0,2024-08-03 07:23:35,2024-08-03 07:33:35,2024-08-03 07:35:35,On Time,726.41,Wallet,35528.0,6745.0,2024.0,August,Saturday,4.0,Neutral,Delivery
57102800,Januja Verma,atideshpande@example.org,917293526596,"06
Om, Ambarnath 477463",Ichalkaranji,730539,2024-03-22,Inactive,14,578.14,2024,March,9329665908.0,2023-07-15 08:14:21,2023-07-15 08:32:21,2023-07-15 08:34:21,On Time,2049.58,Card,64268.0,6777.0,2023.0,July,Saturday,4.0,Positive,Product Quality
54748429,Darsh More,ynayar@example.org,912582120513,"26/961
Salvi Circle, Durg 406361",Visakhapatnam,883122,2024-04-22,New,2,669.35,2024,April,1229660813.0,2023-11-02 19:30:52,2023-11-02 19:45:52,2023-11-02 20:12:52,Significantly Delayed,5173.19,Upi,35201.0,1477.0,2023.0,November,Thursday,3.0,Neutral,Product Quality
54748429,Darsh More,ynayar@example.org,912582120513,"26/961
Salvi Circle, Durg 406361",Visakhapatnam,883122,2024-04-22,New,2,669.35,2024,April,6962915277.0,2024-09-14 10:42:22,2024-09-14 10:57:22,2024-09-14 10:57:22,On Time,2097.56,Wallet,16407.0,2859.0,2024.0,September,Saturday,1.0,Negative,Delivery
49152878,Patrick Sandhu,zehaanmahajan@example.org,912413014420,"304
Tara Road, Gandhinagar-559930",Gwalior,649817,2024-09-13,Premium,4,973.62,2024,September,3986082657.0,2024-02-17 12:37:53,2024-02-17 12:56:53,2024-02-17 12:55:53,On Time,2960.99,Wallet,55010.0,6770.0,2024.0,February,Saturday,1.0,Negative,App Experience
49152878,Patrick Sandhu,zehaanmahajan@example.org,912413014420,"304
Tara Road, Gandhinagar-559930",Gwalior,649817,2024-09-13,Premium,4,973.62,2024,September,5819387689.0,2023-09-08 18:10:12,2023-09-08 18:24:12,2023-09-08 18:19:12,On Time,2115.04,Wallet,54590.0,87.0,2023.0,September,Friday,1.0,Negative,App Experience
