order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status_x,order_total,payment_method,delivery_partner_id_x,store_id,order_year,order_month,weekday,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,registration_year,registration_month,product_id,quantity,unit_price,sales,average_selling_price,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,delivery_partner_id_y,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status_y,reasons_if_delayed,feedback_id,rating,feedback_text,feedback_category,sentiment,feedback_date,feedback_month,feedback_year
1961864118,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,3197.07,Cash,63230,4771,2024,July,Wednesday,Urishilla Hegde,ydeo@example.org,910400446367,"H.No. 330
Rana Path, Sagar 712033",Allahabad,911359,2024-09-02,Regular,13,749.95,2024,September,642612,3,517.03,1551.09,517.03,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,16,57,63230,2024-07-17 08:52:01,2024-07-17 08:47:01,-5.0,0.96,On Time,No Delay,2234710,4,"It was okay, nothing special.",Delivery,Neutral,2024-07-17,July,2024
1549769649,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,976.55,Cash,14983,7534,2024,May,Tuesday,Ranveer Mahal,phegde@example.org,912292591574,"49, Sarkar Zila, Navi Mumbai-077374",Thrissur,856100,2023-11-07,New,5,958.06,2023,November,378676,1,881.42,881.42,881.42,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65,14983,2024-05-28 13:25:29,2024-05-28 13:27:29,2.0,0.98,On Time,Traffic,5450964,3,The order was incorrect.,App Experience,Negative,2024-05-28,May,2024
9185164487,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,839.05,Upi,39859,9886,2024,September,Monday,Aarna Bawa,kondajagdish@example.com,912719661653,"14/351, Agarwal Path
Medininagar 636193",Vellore,117423,2024-01-05,Inactive,4,327.93,2024,January,741341,2,923.84,1847.68,923.84,Eggs,Dairy & Breakfast,Prasad Llc,923.84,1154.8,20.0,7,13,62,39859,2024-09-23 13:25:12,2024-09-23 13:29:12,4.0,3.83,On Time,Traffic,482108,3,"It was okay, nothing special.",App Experience,Neutral,2024-09-23,September,2024
9644738826,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,440.23,Card,61497,7917,2023,November,Friday,Aayush Sengupta,lekha10@example.com,913367647372,"20/47
Ratta Chowk, Sonipat-022522",Gaya,288459,2023-12-25,Premium,5,273.38,2023,December,561860,1,874.78,874.78,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90,61497,2023-11-24 16:34:56,2023-11-24 16:33:56,-1.0,2.76,On Time,No Delay,4823104,4,The product met my expectations.,App Experience,Neutral,2023-11-24,November,2023
5427684290,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,2526.68,Cash,84315,2741,2023,November,Monday,Vansha Kuruvilla,xalak62@example.com,912910638833,"H.No. 68, Gaba Road
Khandwa 040880",Asansol,149383,2024-10-02,Premium,14,763.1,2024,October,602241,2,976.55,1953.1,976.55,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75,84315,2023-11-20 05:17:39,2023-11-20 05:18:39,1.0,2.63,On Time,Traffic,3537464,3,Product was damaged during delivery.,Delivery,Negative,2023-11-20,November,2023
3265154092,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,3161.43,Upi,554,3442,2023,March,Saturday,Chasmum Ramesh,jom@example.com,913254450285,"H.No. 620
Krishnamurthy Nagar, Pudukkottai-019414",Gopalpur,276624,2023-12-14,New,19,1861.66,2023,December,681063,1,321.28,321.28,321.28,Mango Drink,Cold Drinks & Juices,Dass And Sons,321.28,458.97,30.0,180,20,91,554,2023-03-18 16:49:51,2023-03-18 16:48:51,-1.0,1.94,On Time,No Delay,4089724,2,Product was damaged during delivery.,Customer Service,Negative,2023-03-18,March,2023
4898355547,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,956.4,Card,14630,1318,2023,April,Sunday,Irya Dayal,shamanbir@example.org,914376337070,"H.No. 614, Sehgal Path
Akola-450080",Phagwara,363237,2024-04-11,Regular,9,449.79,2024,April,56589,3,517.77,1553.31,517.77,Vitamins,Pharmacy,"Pai, Kashyap And Ramachandran",517.77,647.21,20.0,365,16,85,14630,2023-04-16 19:01:37,2023-04-16 19:02:37,1.0,2.2,On Time,Traffic,230696,4,Highly recommended!,Product Quality,Positive,2023-04-16,April,2023
6568151549,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,905.47,Cash,67714,115,2024,March,Sunday,Osha Dora,ebatta@example.net,913251161123,"H.No. 022, Bava Street, Srikakulam-979419",South Dumdum,65460,2023-11-01,Premium,6,506.63,2023,November,500739,2,359.98,719.96,359.98,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,67714,2024-03-31 06:37:48,2024-03-31 06:39:48,2.0,1.3,On Time,Traffic,2259308,2,I had a bad experience.,App Experience,Negative,2024-03-31,March,2024
6006693867,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,1371.17,Card,91362,9021,2023,July,Thursday,Vasana Sen,hseshadri@example.org,913695033990,"H.No. 687, Seshadri Street
Ajmer-267864",Kamarhati,185526,2023-12-04,Regular,17,1262.44,2023,December,490939,1,80.25,80.25,80.25,Lotion,Personal Care,"Roy, Barad And De",80.25,123.46,35.0,365,12,67,91362,2023-07-14 00:02:36,2023-07-14 00:05:36,3.0,3.38,On Time,Traffic,7380970,3,Product was damaged during delivery.,Delivery,Negative,2023-07-14,July,2023
374186990,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1601.19,Wallet,77203,7955,2023,August,Wednesday,Lipika Parmer,gavinprabhakar@example.net,910213519763,"00/455, Chakraborty Road, Jammu 801712",Sirsa,414814,2024-09-27,Regular,5,305.65,2024,September,760828,2,563.45,1126.9,563.45,Pet Treats,Pet Care,"Khurana, Khosla And Yohannan",563.45,866.85,35.0,365,23,93,77203,2023-08-09 01:37:30,2023-08-09 01:44:30,7.0,1.47,Slightly Delayed,Traffic,2257242,3,The product met my expectations.,App Experience,Neutral,2023-08-09,August,2023
4455336265,43431724,2023-08-30 19:37:06,2023-08-30 19:47:06,2023-08-30 19:45:06,On Time,2362.33,Upi,64046,3784,2023,August,Wednesday,Jack Kalita,calebdewan@example.com,912843679556,"41/500, Sachdev Marg, Jhansi-452338",Rohtak,217110,2023-11-26,New,2,813.0,2023,November,753354,3,423.56,1270.68,423.56,Shampoo,Personal Care,Sant-Mahajan,423.56,651.63,35.0,365,20,52,64046,2023-08-30 19:47:06,2023-08-30 19:45:06,-2.0,0.76,On Time,No Delay,1837573,2,Taste was not as expected.,Delivery,Negative,2023-08-30,August,2023
3539286337,77559557,2023-04-25 20:32:24,2023-04-25 20:44:24,2023-04-25 20:39:24,On Time,1463.8,Wallet,94899,2463,2023,April,Tuesday,Akshay Varty,balendra63@example.com,917909370826,"44
Dube Path
Jammu-898608",Madurai,639717,2023-08-28,New,9,601.15,2023,August,684939,1,727.95,727.95,727.95,Lotion,Personal Care,"Sibal, Bhatnagar And Rajan",727.95,1119.92,35.0,365,22,50,94899,2023-04-25 20:44:24,2023-04-25 20:39:24,-5.0,3.68,On Time,No Delay,258023,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-04-25,April,2023
